Datetime,lat,lon,wspd,wdir,wtmp,wvht,dpd,mwd,spred,peak_mwd,peak_spred,mean_dpd
2021-06-22 15:00:00,-17.983883,-38.718117,4.4,171,25.34,1.0,7.3,177.0,41.0,184.0,34.0,5.7
2021-06-22 18:00:00,-17.983967,-38.7175,4.0,165,25.44,1.06,7.3,187.0,36.0,194.0,28.0,5.8
2021-06-22 21:00:00,-17.98385,-38.7175,3.2,171,25.3,0.91,6.4,191.0,41.0,202.0,32.0,5.5
2021-06-23 00:00:00,-17.9838,-38.718067,3.6,154,25.2,0.92,10.2,177.0,38.0,172.0,24.0,5.8
2021-06-23 03:00:00,-17.98385,-38.718117,4.8,154,25.2,1.03,10.2,175.0,37.0,172.0,21.0,6.2
2021-06-23 06:00:00,-17.983883,-38.7175,4.4,160,25.2,1.09,9.3,186.0,36.0,185.0,22.0,6.3
2021-06-23 09:00:00,-17.983717,-38.7176,6.4,182,25.12,1.12,11.4,186.0,39.0,188.0,24.0,5.2
2021-06-23 12:00:00,-17.98365,-38.717983,8.4,182,25.18,1.19,11.4,176.0,41.0,170.0,23.0,4.7
2021-06-23 15:00:00,-17.983617,-38.717917,6.8,182,25.22,1.43,4.9,183.0,45.0,192.0,38.0,4.7
2021-06-23 18:00:00,-17.983633,-38.71765,9.2,194,25.22,1.79,5.7,191.0,44.0,193.0,33.0,5.1
2021-06-23 21:00:00,-17.983617,-38.71765,8.8,194,25.12,1.58,6.8,193.0,44.0,197.0,35.0,5.1
2021-06-24 00:00:00,-17.983617,-38.717933,8.8,165,25.08,1.67,6.8,183.0,42.0,185.0,33.0,5.1
2021-06-24 03:00:00,-17.983667,-38.718033,8.0,154,25.04,1.61,6.8,180.0,44.0,187.0,34.0,5.0
2021-06-24 06:00:00,-17.98365,-38.717717,8.0,171,25.02,1.59,6.8,186.0,39.0,191.0,24.0,5.1
2021-06-24 09:00:00,-17.983817,-38.717483,6.0,182,25.06,1.19,6.4,196.0,41.0,198.0,30.0,5.0
2021-06-24 12:00:00,-17.984117,-38.718,3.6,262,25.1,1.11,6.8,183.0,40.0,189.0,28.0,5.2
2021-06-24 15:00:00,-17.983867,-38.71815,4.8,137,25.08,1.06,6.0,168.0,46.0,172.0,31.0,5.0
2021-06-24 18:00:00,-17.983683,-38.7179,6.4,148,25.12,1.15,6.4,169.0,39.0,172.0,28.0,5.0
2021-06-24 21:00:00,-17.983967,-38.717467,5.6,154,24.96,1.12,6.4,174.0,46.0,183.0,30.0,4.9
2021-06-25 00:00:00,-17.98375,-38.71795,5.2,148,24.94,0.93,6.8,176.0,43.0,180.0,25.0,4.6
2021-06-25 03:00:00,-17.983883,-38.7181,5.6,137,24.88,0.89,6.8,167.0,46.0,169.0,32.0,4.9
2021-06-25 06:00:00,-17.984033,-38.718067,4.0,137,24.9,0.92,7.3,166.0,42.0,170.0,26.0,5.1
2021-06-25 09:00:00,-17.984067,-38.71755,4.4,120,24.78,0.88,6.4,170.0,49.0,179.0,29.0,4.9
2021-06-25 12:00:00,-17.98425,-38.717767,3.6,114,24.88,0.73,7.3,167.0,54.0,174.0,39.0,4.8
2021-06-25 15:00:00,-17.98395,-38.7181,1.6,137,25.02,0.64,10.2,162.0,46.0,169.0,32.0,5.4
2021-06-25 18:00:00,-17.983817,-38.718067,2.8,114,25.04,0.75,6.4,156.0,47.0,157.0,31.0,5.1
2021-06-25 21:00:00,-17.984,-38.71755,4.8,108,24.92,0.89,10.2,162.0,50.0,188.0,39.0,4.9
2021-06-26 00:00:00,-17.984083,-38.718067,5.6,108,24.9,0.77,11.4,158.0,51.0,174.0,34.0,4.4
2021-06-26 03:00:00,-17.98395,-38.718167,6.0,137,24.88,0.71,9.3,153.0,52.0,167.0,39.0,4.0
