Datetime,Lat,Lon,Battery,bHead,Wspd,Wdir,Gust,Atmp,Pres,Dewp,Humi,Wtmp,Cvel1,Cdir1,Cvel2,Cdir2,Cvel3,Cdir3,Wvht,Wmax,Dpd,Mwd,Spread
2016-11-18 20:00:00,-3.2138,-38.43256,13.55,160.0,6.3,105.0,7.4,23.4,1006.37,23.4,78.7,27.16,426.15,270.0,427.08,274.0,380.88,273.0,1.6,2.59,7.1,91.0,30.8
2016-11-18 21:00:00,-3.214,-38.43257,12.81,152.0,6.1,92.0,7.3,23.4,1006.57,23.4,79.7,27.41,368.78,261.0,389.37,265.0,402.36,268.0,1.59,2.53,8.3,88.0,29.6
2016-11-18 22:00:00,-3.21386,-38.43255,12.65,146.0,6.7,75.0,8.4,23.6,1006.72,23.6,81.3,27.4,340.56,279.0,366.41,277.0,366.24,275.0,1.48,2.51,8.3,86.0,30.6
2016-11-18 23:00:00,-3.21383,-38.43256,12.62,148.0,8.4,81.0,9.7,23.4,1007.41,23.4,79.6,27.38,352.09,279.0,331.02,278.0,333.79,276.0,1.36,2.07,8.3,87.0,30.6
2016-11-19 00:00:00,-3.21364,-38.43252,12.61,154.0,8.1,85.0,10.6,23.7,1008.25,23.7,81.0,27.38,385.57,286.0,380.59,285.0,378.02,288.0,1.27,2.53,7.1,83.0,33.0
2016-11-19 01:00:00,-3.21362,-38.43254,12.6,155.0,9.8,90.0,11.3,23.2,1008.72,23.2,78.7,27.38,418.24,288.0,427.54,286.0,404.96,287.0,1.35,2.15,9.1,84.0,31.6
2016-11-19 02:00:00,-3.2136,-38.43252,12.59,158.0,10.2,93.0,11.6,23.4,1008.17,23.4,80.1,27.36,400.04,283.0,429.7,284.0,420.04,284.0,1.44,2.05,6.9,80.0,30.6
2016-11-19 03:00:00,-3.21355,-38.43255,12.57,160.0,11.1,92.0,12.9,23.3,1007.66,23.3,79.8,27.36,422.86,286.0,459.44,285.0,431.8,284.0,1.42,2.07,8.3,79.0,32.2
2016-11-19 04:00:00,-3.21357,-38.43253,12.54,158.0,10.2,89.0,11.8,23.2,1007.59,23.2,79.3,27.34,387.51,294.0,377.04,292.0,348.41,294.0,1.5,2.2,6.9,78.0,32.3
2016-11-19 05:00:00,-3.21355,-38.4325,12.53,161.0,9.3,96.0,11.6,23.3,1007.49,23.3,79.8,27.33,288.35,293.0,293.53,296.0,284.25,296.0,1.63,2.81,8.7,85.0,31.7
2016-11-19 06:00:00,-3.21376,-38.43258,12.52,153.0,10.1,89.0,11.6,22.7,1007.62,22.7,77.0,27.33,285.18,280.0,292.58,279.0,269.38,277.0,1.55,2.43,8.7,81.0,33.8
2016-11-19 07:00:00,-3.21385,-38.43258,12.51,155.0,8.9,92.0,11.0,22.8,1008.08,22.8,77.4,27.33,266.69,278.0,288.07,280.0,270.83,280.0,1.55,2.15,6.5,85.0,31.7
2016-11-19 08:00:00,-3.21394,-38.43262,12.52,156.0,9.3,96.0,11.2,22.7,1008.53,22.7,77.0,27.33,322.11,269.0,324.05,269.0,317.47,271.0,1.71,2.77,8.7,85.0,31.7
2016-11-19 09:00:00,-3.21409,-38.43261,13.08,155.0,8.0,97.0,9.6,22.9,1009.16,22.9,77.6,27.34,296.37,258.0,297.18,262.0,295.12,260.0,1.56,2.36,8.7,85.0,32.9
2016-11-19 10:00:00,-3.21393,-38.43261,13.55,155.0,9.2,95.0,11.2,22.7,1009.94,22.7,75.5,27.36,305.67,272.0,311.76,272.0,316.3,273.0,1.6,2.64,8.7,85.0,32.6
2016-11-19 11:00:00,-3.214,-38.43259,13.57,158.0,8.5,100.0,9.9,22.8,1010.51,22.8,75.7,27.38,285.16,264.0,263.65,263.0,266.61,266.0,1.48,2.26,8.7,84.0,33.2
2016-11-19 12:00:00,-3.21363,-38.43251,13.58,169.0,8.3,109.0,10.0,22.8,1010.52,22.8,75.8,27.39,252.79,278.0,248.69,281.0,240.07,281.0,1.5,2.14,8.7,85.0,32.7
2016-11-19 13:00:00,-3.21356,-38.43246,13.59,172.0,7.7,112.0,9.8,23.1,1010.55,23.1,77.0,27.43,261.84,288.0,226.88,285.0,228.08,289.0,1.5,2.33,8.7,86.0,32.6
