;deterministic;time
0;1,5;2018-04-18 03:00:00
1;1,5;2018-04-18 06:00:00
2;1,6;2018-04-18 09:00:00
3;1,64;2018-04-18 12:00:00
4;1,64;2018-04-18 15:00:00
5;1,62;2018-04-18 18:00:00
6;1,62;2018-04-18 21:00:00
7;1,63;2018-04-19 00:00:00
8;1,64;2018-04-19 03:00:00
9;1,65;2018-04-19 06:00:00
10;1,66;2018-04-19 09:00:00
11;1,69;2018-04-19 12:00:00
12;1,74;2018-04-19 15:00:00
13;1,72;2018-04-19 18:00:00
14;1,66;2018-04-19 21:00:00
15;1,62;2018-04-20 00:00:00
16;1,65;2018-04-20 03:00:00
17;1,68;2018-04-20 06:00:00
18;1,68;2018-04-20 09:00:00
19;1,71;2018-04-20 12:00:00
20;1,72;2018-04-20 15:00:00
21;1,74;2018-04-20 18:00:00
22;1,81;2018-04-20 21:00:00
23;1,88;2018-04-21 00:00:00
24;1,87;2018-04-21 03:00:00
25;1,82;2018-04-21 06:00:00
26;1,84;2018-04-21 09:00:00
27;1,9;2018-04-21 12:00:00
28;1,89;2018-04-21 15:00:00
29;1,85;2018-04-21 18:00:00
30;1,85;2018-04-21 21:00:00
31;1,87;2018-04-22 00:00:00
32;1,86;2018-04-22 03:00:00
33;1,84;2018-04-22 06:00:00
34;1,82;2018-04-22 09:00:00
35;1,83;2018-04-22 12:00:00
36;1,95;2018-04-22 15:00:00
37;2,0;2018-04-22 18:00:00
38;1,93;2018-04-22 21:00:00
39;1,83;2018-04-23 00:00:00
40;1,79;2018-04-23 03:00:00
41;1,84;2018-04-23 06:00:00
42;1,89;2018-04-23 09:00:00
43;1,95;2018-04-23 12:00:00
44;1,91;2018-04-23 15:00:00
45;1,83;2018-04-23 18:00:00
46;1,76;2018-04-23 21:00:00
47;1,76;2018-04-24 00:00:00
48;1,79;2018-04-24 03:00:00
49;1,79;2018-04-24 06:00:00
50;1,78;2018-04-24 09:00:00
51;1,79;2018-04-24 12:00:00
52;1,82;2018-04-24 15:00:00
53;1,91;2018-04-24 18:00:00
54;1,96;2018-04-24 21:00:00
55;1,92;2018-04-25 00:00:00
56;1,93;2018-04-25 03:00:00
57;1,96;2018-04-25 06:00:00
58;1,95;2018-04-25 09:00:00
59;1,94;2018-04-25 12:00:00
60;1,88;2018-04-25 15:00:00
61;1,75;2018-04-25 18:00:00
62;1,62;2018-04-25 21:00:00
63;1,56;2018-04-26 00:00:00
64;1,59;2018-04-26 03:00:00
65;1,71;2018-04-26 06:00:00
66;1,82;2018-04-26 09:00:00
67;1,87;2018-04-26 12:00:00
68;1,83;2018-04-26 15:00:00
69;1,79;2018-04-26 18:00:00
70;1,75;2018-04-26 21:00:00
71;1,72;2018-04-27 00:00:00
72;1,81;2018-04-27 03:00:00
73;1,87;2018-04-27 06:00:00
74;1,74;2018-04-27 09:00:00
75;1,63;2018-04-27 12:00:00
76;1,59;2018-04-27 15:00:00
77;1,55;2018-04-27 18:00:00
78;1,52;2018-04-27 21:00:00
79;1,49;2018-04-28 00:00:00
80;1,48;2018-04-28 03:00:00
81;1,56;2018-04-28 06:00:00
82;1,55;2018-04-28 09:00:00
83;1,44;2018-04-28 12:00:00
84;1,36;2018-04-28 15:00:00
85;1,32;2018-04-28 18:00:00
86;1,29;2018-04-28 21:00:00
87;1,29;2018-04-29 00:00:00
88;1,29;2018-04-29 03:00:00
89;1,3;2018-04-29 06:00:00
90;1,35;2018-04-29 09:00:00
91;1,44;2018-04-29 12:00:00
92;1,55;2018-04-29 15:00:00
93;1,65;2018-04-29 18:00:00
94;1,69;2018-04-29 21:00:00
95;1,7;2018-04-30 00:00:00
96;1,71;2018-04-30 03:00:00
