;deterministic;time
0;2,69;2018-11-09 03:00:00
1;2,69;2018-11-09 06:00:00
2;2,67;2018-11-09 09:00:00
3;2,66;2018-11-09 12:00:00
4;2,65;2018-11-09 15:00:00
5;2,59;2018-11-09 18:00:00
6;2,48;2018-11-09 21:00:00
7;2,44;2018-11-10 00:00:00
8;2,42;2018-11-10 03:00:00
9;2,34;2018-11-10 06:00:00
10;2,28;2018-11-10 09:00:00
11;2,28;2018-11-10 12:00:00
12;2,27;2018-11-10 15:00:00
13;2,22;2018-11-10 18:00:00
14;2,16;2018-11-10 21:00:00
15;2,1;2018-11-11 00:00:00
16;2,03;2018-11-11 03:00:00
17;1,98;2018-11-11 06:00:00
18;1,92;2018-11-11 09:00:00
19;1,85;2018-11-11 12:00:00
20;1,77;2018-11-11 15:00:00
21;1,7;2018-11-11 18:00:00
22;1,69;2018-11-11 21:00:00
23;1,72;2018-11-12 00:00:00
24;1,79;2018-11-12 03:00:00
25;1,81;2018-11-12 06:00:00
26;1,78;2018-11-12 09:00:00
27;1,69;2018-11-12 12:00:00
28;1,6;2018-11-12 15:00:00
29;1,52;2018-11-12 18:00:00
30;1,47;2018-11-12 21:00:00
31;1,44;2018-11-13 00:00:00
32;1,44;2018-11-13 03:00:00
33;1,41;2018-11-13 06:00:00
34;1,37;2018-11-13 09:00:00
35;1,33;2018-11-13 12:00:00
36;1,32;2018-11-13 15:00:00
37;1,37;2018-11-13 18:00:00
38;1,54;2018-11-13 21:00:00
39;1,72;2018-11-14 00:00:00
40;1,88;2018-11-14 03:00:00
41;1,95;2018-11-14 06:00:00
42;1,94;2018-11-14 09:00:00
43;1,94;2018-11-14 12:00:00
44;1,89;2018-11-14 15:00:00
45;1,79;2018-11-14 18:00:00
46;1,68;2018-11-14 21:00:00
47;1,63;2018-11-15 00:00:00
48;1,58;2018-11-15 03:00:00
49;1,54;2018-11-15 06:00:00
50;1,8;2018-11-15 09:00:00
51;1,86;2018-11-15 12:00:00
52;1,82;2018-11-15 15:00:00
53;1,76;2018-11-15 18:00:00
54;1,78;2018-11-15 21:00:00
55;1,82;2018-11-16 00:00:00
56;1,95;2018-11-16 03:00:00
57;2,06;2018-11-16 06:00:00
58;2,04;2018-11-16 09:00:00
59;1,93;2018-11-16 12:00:00
60;1,85;2018-11-16 15:00:00
61;1,8;2018-11-16 18:00:00
62;1,78;2018-11-16 21:00:00
63;1,75;2018-11-17 00:00:00
64;1,71;2018-11-17 03:00:00
65;1,66;2018-11-17 06:00:00
66;1,63;2018-11-17 09:00:00
67;1,63;2018-11-17 12:00:00
68;1,67;2018-11-17 15:00:00
69;1,8;2018-11-17 18:00:00
70;1,95;2018-11-17 21:00:00
71;2,05;2018-11-18 00:00:00
72;2,07;2018-11-18 03:00:00
73;2,03;2018-11-18 06:00:00
74;1,93;2018-11-18 09:00:00
75;1,82;2018-11-18 12:00:00
76;1,71;2018-11-18 15:00:00
77;1,62;2018-11-18 18:00:00
78;1,57;2018-11-18 21:00:00
79;1,57;2018-11-19 00:00:00
80;1,59;2018-11-19 03:00:00
81;1,63;2018-11-19 06:00:00
82;1,64;2018-11-19 09:00:00
83;1,62;2018-11-19 12:00:00
84;1,69;2018-11-19 15:00:00
85;1,87;2018-11-19 18:00:00
86;1,91;2018-11-19 21:00:00
87;1,92;2018-11-20 00:00:00
88;2,22;2018-11-20 03:00:00
89;2,61;2018-11-20 06:00:00
90;2,59;2018-11-20 09:00:00
91;2,4;2018-11-20 12:00:00
92;2,19;2018-11-20 15:00:00
93;2,16;2018-11-20 18:00:00
94;2,09;2018-11-20 21:00:00
95;2,01;2018-11-21 00:00:00
96;1,95;2018-11-21 03:00:00
97;1,91;2018-11-21 06:00:00
98;1,85;2018-11-21 09:00:00
99;1,78;2018-11-21 12:00:00
100;1,71;2018-11-21 15:00:00
101;1,67;2018-11-21 18:00:00
102;1,69;2018-11-21 21:00:00
103;1,8;2018-11-22 00:00:00
104;1,88;2018-11-22 03:00:00
105;1,87;2018-11-22 06:00:00
106;1,83;2018-11-22 09:00:00
107;1,75;2018-11-22 12:00:00
108;1,68;2018-11-22 15:00:00
109;1,65;2018-11-22 18:00:00
110;1,68;2018-11-22 21:00:00
111;1,77;2018-11-23 00:00:00
112;1,86;2018-11-23 03:00:00
113;1,93;2018-11-23 06:00:00
114;2,49;2018-11-23 09:00:00
115;3,21;2018-11-23 12:00:00
116;3,5500000000000003;2018-11-23 15:00:00
117;3,59;2018-11-23 18:00:00
118;3,22;2018-11-23 21:00:00
119;2,91;2018-11-24 00:00:00
120;2,76;2018-11-24 03:00:00
121;2,72;2018-11-24 06:00:00
122;2,66;2018-11-24 09:00:00
123;2,54;2018-11-24 12:00:00
124;2,39;2018-11-24 15:00:00
125;2,3000000000000003;2018-11-24 18:00:00
126;2,27;2018-11-24 21:00:00
127;2,25;2018-11-25 00:00:00
