;deterministic;time
0;3,02;2019-02-20 03:00:00
1;2,93;2019-02-20 06:00:00
2;2,8000000000000003;2019-02-20 09:00:00
3;2,82;2019-02-20 12:00:00
4;2,85;2019-02-20 15:00:00
5;2,87;2019-02-20 18:00:00
6;2,87;2019-02-20 21:00:00
7;2,83;2019-02-21 00:00:00
8;2,77;2019-02-21 03:00:00
9;2,7;2019-02-21 06:00:00
10;2,63;2019-02-21 09:00:00
11;2,52;2019-02-21 12:00:00
12;2,43;2019-02-21 15:00:00
13;2,44;2019-02-21 18:00:00
14;2,44;2019-02-21 21:00:00
15;2,41;2019-02-22 00:00:00
16;2,37;2019-02-22 03:00:00
17;2,33;2019-02-22 06:00:00
18;2,31;2019-02-22 09:00:00
19;2,31;2019-02-22 12:00:00
20;2,34;2019-02-22 15:00:00
21;2,38;2019-02-22 18:00:00
22;2,4;2019-02-22 21:00:00
23;2,4;2019-02-23 00:00:00
24;2,39;2019-02-23 03:00:00
25;2,37;2019-02-23 06:00:00
26;2,33;2019-02-23 09:00:00
27;2,3000000000000003;2019-02-23 12:00:00
28;2,31;2019-02-23 15:00:00
29;2,3000000000000003;2019-02-23 18:00:00
30;2,26;2019-02-23 21:00:00
31;2,19;2019-02-24 00:00:00
32;2,17;2019-02-24 03:00:00
33;2,2;2019-02-24 06:00:00
34;2,26;2019-02-24 09:00:00
35;2,3000000000000003;2019-02-24 12:00:00
36;2,34;2019-02-24 15:00:00
37;2,36;2019-02-24 18:00:00
38;2,37;2019-02-24 21:00:00
39;2,37;2019-02-25 00:00:00
40;2,33;2019-02-25 03:00:00
41;2,26;2019-02-25 06:00:00
42;2,2;2019-02-25 09:00:00
43;2,15;2019-02-25 12:00:00
44;2,11;2019-02-25 15:00:00
45;2,09;2019-02-25 18:00:00
46;2,08;2019-02-25 21:00:00
47;2,1;2019-02-26 00:00:00
48;2,12;2019-02-26 03:00:00
49;2,12;2019-02-26 06:00:00
50;2,13;2019-02-26 09:00:00
51;2,16;2019-02-26 12:00:00
52;2,19;2019-02-26 15:00:00
53;2,22;2019-02-26 18:00:00
54;2,2;2019-02-26 21:00:00
55;2,12;2019-02-27 00:00:00
56;2,02;2019-02-27 03:00:00
57;1,93;2019-02-27 06:00:00
58;1,86;2019-02-27 09:00:00
59;1,82;2019-02-27 12:00:00
60;1,78;2019-02-27 15:00:00
61;1,73;2019-02-27 18:00:00
