;deterministic;time
0;1,55;2016-12-12 03:00:00
1;1,53;2016-12-12 06:00:00
2;1,56;2016-12-12 09:00:00
3;1,6;2016-12-12 12:00:00
4;1,68;2016-12-12 15:00:00
5;1,74;2016-12-12 18:00:00
6;1,77;2016-12-12 21:00:00
7;1,83;2016-12-13 00:00:00
8;1,88;2016-12-13 03:00:00
9;1,91;2016-12-13 06:00:00
10;1,91;2016-12-13 09:00:00
11;1,88;2016-12-13 12:00:00
12;1,85;2016-12-13 15:00:00
13;1,82;2016-12-13 18:00:00
14;1,75;2016-12-13 21:00:00
15;1,69;2016-12-14 00:00:00
16;1,64;2016-12-14 03:00:00
17;1,6;2016-12-14 06:00:00
18;1,53;2016-12-14 09:00:00
19;1,43;2016-12-14 12:00:00
20;1,35;2016-12-14 15:00:00
21;1,28;2016-12-14 18:00:00
22;1,21;2016-12-14 21:00:00
23;1,18;2016-12-15 00:00:00
24;1,16;2016-12-15 03:00:00
25;1,12;2016-12-15 06:00:00
26;1,1;2016-12-15 09:00:00
27;1,08;2016-12-15 12:00:00
28;1,06;2016-12-15 15:00:00
29;1,05;2016-12-15 18:00:00
30;1,12;2016-12-15 21:00:00
31;1,27;2016-12-16 00:00:00
32;1,38;2016-12-16 03:00:00
33;1,42;2016-12-16 06:00:00
34;1,41;2016-12-16 09:00:00
35;1,41;2016-12-16 12:00:00
36;1,39;2016-12-16 15:00:00
37;1,42;2016-12-16 18:00:00
38;1,59;2016-12-16 21:00:00
39;1,72;2016-12-17 00:00:00
40;1,75;2016-12-17 03:00:00
41;1,72;2016-12-17 06:00:00
42;1,69;2016-12-17 09:00:00
43;1,7;2016-12-17 12:00:00
44;1,73;2016-12-17 15:00:00
45;1,77;2016-12-17 18:00:00
46;1,81;2016-12-17 21:00:00
47;1,85;2016-12-18 00:00:00
48;1,83;2016-12-18 03:00:00
49;1,8;2016-12-18 06:00:00
50;1,78;2016-12-18 09:00:00
51;1,77;2016-12-18 12:00:00
52;1,76;2016-12-18 15:00:00
53;1,74;2016-12-18 18:00:00
54;1,73;2016-12-18 21:00:00
55;1,74;2016-12-19 00:00:00
56;1,72;2016-12-19 03:00:00
57;1,67;2016-12-19 06:00:00
58;1,62;2016-12-19 09:00:00
59;1,59;2016-12-19 12:00:00
60;1,58;2016-12-19 15:00:00
61;1,58;2016-12-19 18:00:00
62;1,61;2016-12-19 21:00:00
63;1,64;2016-12-20 00:00:00
64;1,63;2016-12-20 03:00:00
65;1,6;2016-12-20 06:00:00
66;1,57;2016-12-20 09:00:00
67;1,54;2016-12-20 12:00:00
68;1,51;2016-12-20 15:00:00
69;1,48;2016-12-20 18:00:00
70;1,46;2016-12-20 21:00:00
71;1,47;2016-12-21 00:00:00
72;1,53;2016-12-21 03:00:00
73;1,63;2016-12-21 06:00:00
74;1,71;2016-12-21 09:00:00
75;1,7;2016-12-21 12:00:00
76;1,66;2016-12-21 15:00:00
77;1,62;2016-12-21 18:00:00
78;1,65;2016-12-21 21:00:00
79;1,65;2016-12-22 00:00:00
80;1,63;2016-12-22 03:00:00
81;1,61;2016-12-22 06:00:00
82;1,59;2016-12-22 09:00:00
83;1,58;2016-12-22 12:00:00
84;1,57;2016-12-22 15:00:00
85;1,56;2016-12-22 18:00:00
86;1,56;2016-12-22 21:00:00
87;1,55;2016-12-23 00:00:00
88;1,53;2016-12-23 03:00:00
89;1,5;2016-12-23 06:00:00
90;1,48;2016-12-23 09:00:00
91;1,49;2016-12-23 12:00:00
92;1,52;2016-12-23 15:00:00
93;1,52;2016-12-23 18:00:00
94;1,51;2016-12-23 21:00:00
95;1,52;2016-12-24 00:00:00
96;1,53;2016-12-24 03:00:00
97;1,54;2016-12-24 06:00:00
98;1,54;2016-12-24 09:00:00
99;1,53;2016-12-24 12:00:00
100;1,51;2016-12-24 15:00:00
101;1,48;2016-12-24 18:00:00
102;1,45;2016-12-24 21:00:00
103;1,42;2016-12-25 00:00:00
104;1,4;2016-12-25 03:00:00
105;1,37;2016-12-25 06:00:00
106;1,35;2016-12-25 09:00:00
107;1,32;2016-12-25 12:00:00
108;1,28;2016-12-25 15:00:00
109;1,25;2016-12-25 18:00:00
110;1,21;2016-12-25 21:00:00
111;1,19;2016-12-26 00:00:00
112;1,18;2016-12-26 03:00:00
113;1,16;2016-12-26 06:00:00
114;1,15;2016-12-26 09:00:00
115;1,16;2016-12-26 12:00:00
116;1,16;2016-12-26 15:00:00
117;1,15;2016-12-26 18:00:00
118;1,17;2016-12-26 21:00:00
119;1,25;2016-12-27 00:00:00
120;1,32;2016-12-27 03:00:00
121;1,35;2016-12-27 06:00:00
122;1,37;2016-12-27 09:00:00
123;1,41;2016-12-27 12:00:00
124;1,41;2016-12-27 15:00:00
125;1,4;2016-12-27 18:00:00
126;1,42;2016-12-27 21:00:00
127;1,49;2016-12-28 00:00:00
