;deterministic;time
0;2,19;2015-11-10 03:00:00
1;2,13;2015-11-10 06:00:00
2;2,06;2015-11-10 09:00:00
3;2,01;2015-11-10 12:00:00
4;1,95;2015-11-10 15:00:00
5;1,88;2015-11-10 18:00:00
6;1,83;2015-11-10 21:00:00
7;1,78;2015-11-11 00:00:00
8;1,73;2015-11-11 03:00:00
9;1,7;2015-11-11 06:00:00
10;1,68;2015-11-11 09:00:00
11;1,64;2015-11-11 12:00:00
12;1,6;2015-11-11 15:00:00
13;1,56;2015-11-11 18:00:00
14;1,54;2015-11-11 21:00:00
15;1,53;2015-11-12 00:00:00
16;1,52;2015-11-12 03:00:00
17;1,48;2015-11-12 06:00:00
18;1,45;2015-11-12 09:00:00
19;1,43;2015-11-12 12:00:00
20;1,4;2015-11-12 15:00:00
21;1,36;2015-11-12 18:00:00
22;1,34;2015-11-12 21:00:00
23;1,33;2015-11-13 00:00:00
24;1,32;2015-11-13 03:00:00
25;1,38;2015-11-13 06:00:00
26;1,54;2015-11-13 09:00:00
27;1,65;2015-11-13 12:00:00
28;1,68;2015-11-13 15:00:00
29;1,66;2015-11-13 18:00:00
30;1,61;2015-11-13 21:00:00
31;1,57;2015-11-14 00:00:00
32;1,55;2015-11-14 03:00:00
33;1,52;2015-11-14 06:00:00
34;1,47;2015-11-14 09:00:00
35;1,44;2015-11-14 12:00:00
36;1,41;2015-11-14 15:00:00
37;1,37;2015-11-14 18:00:00
38;1,34;2015-11-14 21:00:00
39;1,3;2015-11-15 00:00:00
40;1,25;2015-11-15 03:00:00
41;1,21;2015-11-15 06:00:00
42;1,21;2015-11-15 09:00:00
43;1,21;2015-11-15 12:00:00
44;1,23;2015-11-15 15:00:00
45;1,26;2015-11-15 18:00:00
46;1,29;2015-11-15 21:00:00
47;1,32;2015-11-16 00:00:00
48;1,36;2015-11-16 03:00:00
49;1,39;2015-11-16 06:00:00
50;1,39;2015-11-16 09:00:00
51;1,36;2015-11-16 12:00:00
52;1,35;2015-11-16 15:00:00
53;1,34;2015-11-16 18:00:00
54;1,34;2015-11-16 21:00:00
55;1,34;2015-11-17 00:00:00
56;1,36;2015-11-17 03:00:00
57;1,39;2015-11-17 06:00:00
58;1,4;2015-11-17 09:00:00
59;1,41;2015-11-17 12:00:00
60;1,44;2015-11-17 15:00:00
61;1,46;2015-11-17 18:00:00
62;1,45;2015-11-17 21:00:00
63;1,45;2015-11-18 00:00:00
64;1,45;2015-11-18 03:00:00
65;1,47;2015-11-18 06:00:00
66;1,47;2015-11-18 09:00:00
67;1,44;2015-11-18 12:00:00
68;1,42;2015-11-18 15:00:00
69;1,42;2015-11-18 18:00:00
70;1,42;2015-11-18 21:00:00
71;1,43;2015-11-19 00:00:00
72;1,42;2015-11-19 03:00:00
73;1,43;2015-11-19 06:00:00
74;1,42;2015-11-19 09:00:00
75;1,42;2015-11-19 12:00:00
76;1,4;2015-11-19 15:00:00
77;1,37;2015-11-19 18:00:00
78;1,37;2015-11-19 21:00:00
79;1,38;2015-11-20 00:00:00
80;1,39;2015-11-20 03:00:00
81;1,38;2015-11-20 06:00:00
82;1,39;2015-11-20 09:00:00
83;1,42;2015-11-20 12:00:00
84;1,45;2015-11-20 15:00:00
85;1,46;2015-11-20 18:00:00
86;1,46;2015-11-20 21:00:00
87;1,49;2015-11-21 00:00:00
88;1,54;2015-11-21 03:00:00
89;1,58;2015-11-21 06:00:00
90;1,63;2015-11-21 09:00:00
91;1,69;2015-11-21 12:00:00
92;1,73;2015-11-21 15:00:00
93;1,76;2015-11-21 18:00:00
94;1,79;2015-11-21 21:00:00
95;1,82;2015-11-22 00:00:00
96;1,85;2015-11-22 03:00:00
97;1,86;2015-11-22 06:00:00
98;1,87;2015-11-22 09:00:00
99;1,86;2015-11-22 12:00:00
100;1,85;2015-11-22 15:00:00
101;1,83;2015-11-22 18:00:00
102;1,81;2015-11-22 21:00:00
103;1,81;2015-11-23 00:00:00
104;1,82;2015-11-23 03:00:00
105;1,85;2015-11-23 06:00:00
106;1,9;2015-11-23 09:00:00
107;1,97;2015-11-23 12:00:00
108;2,03;2015-11-23 15:00:00
109;2,05;2015-11-23 18:00:00
110;2,05;2015-11-23 21:00:00
111;2,04;2015-11-24 00:00:00
112;2,03;2015-11-24 03:00:00
113;2,0;2015-11-24 06:00:00
114;1,96;2015-11-24 09:00:00
115;1,92;2015-11-24 12:00:00
116;1,88;2015-11-24 15:00:00
117;1,83;2015-11-24 18:00:00
118;1,8;2015-11-24 21:00:00
119;1,77;2015-11-25 00:00:00
120;1,75;2015-11-25 03:00:00
121;1,73;2015-11-25 06:00:00
122;1,72;2015-11-25 09:00:00
123;1,71;2015-11-25 12:00:00
124;1,69;2015-11-25 15:00:00
125;1,66;2015-11-25 18:00:00
126;1,66;2015-11-25 21:00:00
127;1,67;2015-11-26 00:00:00
