;deterministic;time
0;1,98;2019-02-28 03:00:00
1;1,88;2019-02-28 06:00:00
2;1,79;2019-02-28 09:00:00
3;1,68;2019-02-28 12:00:00
4;1,6;2019-02-28 15:00:00
5;1,54;2019-02-28 18:00:00
6;1,5;2019-02-28 21:00:00
7;1,49;2019-03-01 00:00:00
8;1,5;2019-03-01 03:00:00
9;1,56;2019-03-01 06:00:00
10;1,67;2019-03-01 09:00:00
11;1,8;2019-03-01 12:00:00
12;1,96;2019-03-01 15:00:00
13;2,23;2019-03-01 18:00:00
14;2,71;2019-03-01 21:00:00
15;2,98;2019-03-02 00:00:00
16;2,96;2019-03-02 03:00:00
17;2,85;2019-03-02 06:00:00
18;2,73;2019-03-02 09:00:00
19;2,61;2019-03-02 12:00:00
20;2,51;2019-03-02 15:00:00
21;2,43;2019-03-02 18:00:00
22;2,36;2019-03-02 21:00:00
23;2,29;2019-03-03 00:00:00
24;2,22;2019-03-03 03:00:00
25;2,13;2019-03-03 06:00:00
26;2,05;2019-03-03 09:00:00
27;1,99;2019-03-03 12:00:00
28;2,02;2019-03-03 15:00:00
29;2,23;2019-03-03 18:00:00
30;2,39;2019-03-03 21:00:00
31;2,49;2019-03-04 00:00:00
32;2,41;2019-03-04 03:00:00
33;2,29;2019-03-04 06:00:00
34;2,2;2019-03-04 09:00:00
35;2,14;2019-03-04 12:00:00
36;2,16;2019-03-04 15:00:00
37;2,32;2019-03-04 18:00:00
38;2,47;2019-03-04 21:00:00
39;2,5500000000000003;2019-03-05 00:00:00
40;2,5500000000000003;2019-03-05 03:00:00
41;2,49;2019-03-05 06:00:00
42;2,42;2019-03-05 09:00:00
43;2,35;2019-03-05 12:00:00
44;2,28;2019-03-05 15:00:00
45;2,24;2019-03-05 18:00:00
46;2,18;2019-03-05 21:00:00
47;2,13;2019-03-06 00:00:00
48;2,07;2019-03-06 03:00:00
49;2,0;2019-03-06 06:00:00
50;1,95;2019-03-06 09:00:00
51;1,91;2019-03-06 12:00:00
52;1,93;2019-03-06 15:00:00
53;1,98;2019-03-06 18:00:00
54;2,05;2019-03-06 21:00:00
55;2,14;2019-03-07 00:00:00
56;2,28;2019-03-07 03:00:00
57;2,45;2019-03-07 06:00:00
58;2,62;2019-03-07 09:00:00
59;2,77;2019-03-07 12:00:00
60;2,92;2019-03-07 15:00:00
61;3,0500000000000003;2019-03-07 18:00:00
62;3,14;2019-03-07 21:00:00
63;3,21;2019-03-08 00:00:00
64;3,28;2019-03-08 03:00:00
65;3,31;2019-03-08 06:00:00
66;3,22;2019-03-08 09:00:00
67;3,11;2019-03-08 12:00:00
68;3,06;2019-03-08 15:00:00
69;3,0700000000000003;2019-03-08 18:00:00
70;3,08;2019-03-08 21:00:00
71;3,06;2019-03-09 00:00:00
72;3,03;2019-03-09 03:00:00
73;2,98;2019-03-09 06:00:00
74;2,93;2019-03-09 09:00:00
75;2,88;2019-03-09 12:00:00
76;2,83;2019-03-09 15:00:00
77;2,77;2019-03-09 18:00:00
78;2,74;2019-03-09 21:00:00
79;2,72;2019-03-10 00:00:00
80;2,68;2019-03-10 03:00:00
81;2,64;2019-03-10 06:00:00
82;2,61;2019-03-10 09:00:00
83;2,6;2019-03-10 12:00:00
84;2,62;2019-03-10 15:00:00
85;2,72;2019-03-10 18:00:00
86;2,9;2019-03-10 21:00:00
87;3,0500000000000003;2019-03-11 00:00:00
88;3,12;2019-03-11 03:00:00
89;3,18;2019-03-11 06:00:00
90;3,2;2019-03-11 09:00:00
91;3,18;2019-03-11 12:00:00
92;3,11;2019-03-11 15:00:00
93;3,02;2019-03-11 18:00:00
94;2,93;2019-03-11 21:00:00
95;2,84;2019-03-12 00:00:00
96;2,72;2019-03-12 03:00:00
97;2,61;2019-03-12 06:00:00
98;2,52;2019-03-12 09:00:00
99;2,45;2019-03-12 12:00:00
100;2,45;2019-03-12 15:00:00
101;2,57;2019-03-12 18:00:00
102;2,72;2019-03-12 21:00:00
103;2,83;2019-03-13 00:00:00
104;2,83;2019-03-13 03:00:00
105;2,78;2019-03-13 06:00:00
106;2,78;2019-03-13 09:00:00
107;2,83;2019-03-13 12:00:00
108;2,91;2019-03-13 15:00:00
109;2,99;2019-03-13 18:00:00
110;3,02;2019-03-13 21:00:00
111;3,03;2019-03-14 00:00:00
112;3,04;2019-03-14 03:00:00
113;3,0700000000000003;2019-03-14 06:00:00
114;3,1;2019-03-14 09:00:00
115;3,12;2019-03-14 12:00:00
116;3,12;2019-03-14 15:00:00
117;3,09;2019-03-14 18:00:00
118;3,08;2019-03-14 21:00:00
119;3,09;2019-03-15 00:00:00
120;3,0700000000000003;2019-03-15 03:00:00
121;3,01;2019-03-15 06:00:00
122;2,95;2019-03-15 09:00:00
123;2,89;2019-03-15 12:00:00
124;2,83;2019-03-15 15:00:00
125;2,75;2019-03-15 18:00:00
126;2,68;2019-03-15 21:00:00
127;2,63;2019-03-16 00:00:00
