;deterministic;time
0;2,17;2017-07-06 03:00:00
1;2,16;2017-07-06 06:00:00
2;2,17;2017-07-06 09:00:00
3;2,14;2017-07-06 12:00:00
4;2,07;2017-07-06 15:00:00
5;2,01;2017-07-06 18:00:00
6;2,0;2017-07-06 21:00:00
7;2,01;2017-07-07 00:00:00
8;1,98;2017-07-07 03:00:00
9;1,88;2017-07-07 06:00:00
10;1,81;2017-07-07 09:00:00
11;1,86;2017-07-07 12:00:00
12;1,84;2017-07-07 15:00:00
13;1,76;2017-07-07 18:00:00
14;1,71;2017-07-07 21:00:00
15;1,8;2017-07-08 00:00:00
16;1,96;2017-07-08 03:00:00
17;2,01;2017-07-08 06:00:00
18;2,02;2017-07-08 09:00:00
19;2,03;2017-07-08 12:00:00
20;1,97;2017-07-08 15:00:00
21;1,85;2017-07-08 18:00:00
22;1,73;2017-07-08 21:00:00
23;1,78;2017-07-09 00:00:00
24;2,23;2017-07-09 03:00:00
25;2,44;2017-07-09 06:00:00
26;2,44;2017-07-09 09:00:00
27;2,54;2017-07-09 12:00:00
28;2,65;2017-07-09 15:00:00
29;2,61;2017-07-09 18:00:00
30;2,52;2017-07-09 21:00:00
31;2,52;2017-07-10 00:00:00
32;2,6;2017-07-10 03:00:00
33;2,67;2017-07-10 06:00:00
34;2,7;2017-07-10 09:00:00
35;2,67;2017-07-10 12:00:00
36;2,65;2017-07-10 15:00:00
37;2,69;2017-07-10 18:00:00
38;2,83;2017-07-10 21:00:00
39;2,94;2017-07-11 00:00:00
40;2,87;2017-07-11 03:00:00
41;2,78;2017-07-11 06:00:00
42;2,68;2017-07-11 09:00:00
43;2,58;2017-07-11 12:00:00
44;2,49;2017-07-11 15:00:00
45;2,43;2017-07-11 18:00:00
46;2,41;2017-07-11 21:00:00
47;2,36;2017-07-12 00:00:00
48;2,3000000000000003;2017-07-12 03:00:00
49;2,27;2017-07-12 06:00:00
50;2,25;2017-07-12 09:00:00
51;2,31;2017-07-12 12:00:00
52;2,41;2017-07-12 15:00:00
53;2,43;2017-07-12 18:00:00
54;2,36;2017-07-12 21:00:00
55;2,27;2017-07-13 00:00:00
56;2,19;2017-07-13 03:00:00
57;2,14;2017-07-13 06:00:00
58;2,16;2017-07-13 09:00:00
59;2,13;2017-07-13 12:00:00
60;2,04;2017-07-13 15:00:00
61;1,97;2017-07-13 18:00:00
62;1,95;2017-07-13 21:00:00
63;1,97;2017-07-14 00:00:00
64;2,02;2017-07-14 03:00:00
65;2,02;2017-07-14 06:00:00
66;2,0;2017-07-14 09:00:00
67;1,94;2017-07-14 12:00:00
68;1,87;2017-07-14 15:00:00
69;1,81;2017-07-14 18:00:00
70;1,79;2017-07-14 21:00:00
71;1,8;2017-07-15 00:00:00
72;1,8;2017-07-15 03:00:00
73;1,75;2017-07-15 06:00:00
74;1,69;2017-07-15 09:00:00
75;1,63;2017-07-15 12:00:00
76;1,57;2017-07-15 15:00:00
77;1,51;2017-07-15 18:00:00
78;1,47;2017-07-15 21:00:00
79;1,45;2017-07-16 00:00:00
80;1,43;2017-07-16 03:00:00
81;1,39;2017-07-16 06:00:00
82;1,36;2017-07-16 09:00:00
83;1,34;2017-07-16 12:00:00
84;1,33;2017-07-16 15:00:00
85;1,34;2017-07-16 18:00:00
86;1,33;2017-07-16 21:00:00
87;1,32;2017-07-17 00:00:00
88;1,29;2017-07-17 03:00:00
89;1,25;2017-07-17 06:00:00
90;1,23;2017-07-17 09:00:00
91;1,24;2017-07-17 12:00:00
92;1,38;2017-07-17 15:00:00
93;1,73;2017-07-17 18:00:00
94;2,1;2017-07-17 21:00:00
95;2,31;2017-07-18 00:00:00
96;2,39;2017-07-18 03:00:00
97;2,41;2017-07-18 06:00:00
98;2,47;2017-07-18 09:00:00
99;2,5500000000000003;2017-07-18 12:00:00
100;2,53;2017-07-18 15:00:00
101;2,47;2017-07-18 18:00:00
102;2,42;2017-07-18 21:00:00
103;2,35;2017-07-19 00:00:00
104;2,26;2017-07-19 03:00:00
105;2,16;2017-07-19 06:00:00
106;2,09;2017-07-19 09:00:00
107;2,01;2017-07-19 12:00:00
108;1,91;2017-07-19 15:00:00
109;1,82;2017-07-19 18:00:00
110;1,74;2017-07-19 21:00:00
111;1,68;2017-07-20 00:00:00
112;1,61;2017-07-20 03:00:00
113;1,55;2017-07-20 06:00:00
114;1,5;2017-07-20 09:00:00
115;1,46;2017-07-20 12:00:00
116;1,42;2017-07-20 15:00:00
117;1,39;2017-07-20 18:00:00
118;1,36;2017-07-20 21:00:00
119;1,34;2017-07-21 00:00:00
120;1,32;2017-07-21 03:00:00
121;1,29;2017-07-21 06:00:00
122;1,27;2017-07-21 09:00:00
123;1,25;2017-07-21 12:00:00
124;1,36;2017-07-21 15:00:00
125;1,53;2017-07-21 18:00:00
126;1,59;2017-07-21 21:00:00
127;1,61;2017-07-22 00:00:00
