;tgt_0;tgt_1;tgt_2;tgt_3;tgt_4;tgt_5;tgt_6;tgt_7;tgt_8;tgt_9;tgt_10;tgt_11;tgt_12;tgt_13;tgt_14;tgt_15;tgt_16;tgt_17;tgt_18;tgt_19;tgt_20;tgt_21;tgt_22;tgt_23;tgt_24;tgt_25;tgt_26;tgt_27;tgt_28;tgt_29;tgt_30;tgt_31;tgt_32;tgt_33;tgt_34;tgt_35;tgt_36;tgt_37;tgt_38;tgt_39;tgt_40;tgt_41;tgt_42;tgt_43;tgt_44;tgt_45;tgt_46;tgt_47;tgt_48;tgt_49;tgt_50;tgt_51;tgt_52;tgt_53;tgt_54;tgt_55;tgt_56;tgt_57;tgt_58;tgt_59;tgt_60;tgt_61;tgt_62;tgt_63;tgt_64;tgt_65;tgt_66;tgt_67;tgt_68;tgt_69;tgt_70;tgt_71;tgt_72;tgt_73;tgt_74;tgt_75;tgt_76;tgt_77;tgt_78;tgt_79;tgt_80;tgt_81;tgt_82;tgt_83;tgt_84;tgt_85;tgt_86;tgt_87;tgt_88;tgt_89;tgt_90;tgt_91;tgt_92;tgt_93;tgt_94;tgt_95;tgt_96;tgt_97;tgt_98;tgt_99;tgt_100;tgt_101;tgt_102;tgt_103;tgt_104;tgt_105;tgt_106;tgt_107;tgt_108;tgt_109;tgt_110;tgt_111;tgt_112;tgt_113;tgt_114;tgt_115;tgt_116;tgt_117;tgt_118;tgt_119;tgt_120;tgt_121;tgt_122;tgt_123;tgt_124;tgt_125;tgt_126;tgt_127
0;-10000,04;0,42999999999999994;-10000,05;-10000,13;0,40000000000000013;-10000,16;0,30999999999999983;-10000,05;-10000,01;-9999,97;-9999,93;-9999,91;0,32999999999999996;-9999,96;-10000,02;-10000,06;-10000,05;0,30000000000000004;-9999,98;-9999,96;-9999,96;-9999,95;0,6500000000000001;-9999,94;0,6400000000000001;-9999,9;0,9700000000000001;-9999,82;-9999,89;-9999,98;-10000,04;-10000,06;0,76;-10000,1;0,7100000000000002;-10000,17;-10000,18;-10000,16;0,44000000000000017;-10000,14;0,4700000000000002;-10000,14;0,41000000000000014;0,27;-10000,28;-10000,33;0,09999999999999987;0,04999999999999982;-0,029999999999999805;-0,07999999999999985;-10000,33;-10000,29;0,030000000000000027;0,010000000000000009;0,14000000000000012;-0,17000000000000015;0,07000000000000006;-0,039999999999999813;0,08000000000000007;-10000,34;0,010000000000000009;-10000,19;-10000,17;-10000,15;-10000,1;-10000,02;-9999,96;-9999,91;0,43000000000000005;-9999,91;-9999,97;-0,39;-10000,03;-10000,02;-9999,99;-9999,99;0,20999999999999996;-10000,18;-0,030000000000000027;-10000,54;-10000,71;-10000,74;-0,28;-0,17999999999999994;-0,19999999999999996;-10000,63;-0,09000000000000008;-10000,57;-10000,54;-10000,48;-10000,42;-10000,36;0,42999999999999994;0,55;-10000,23;0,49;0,6300000000000001;-10000,16;-10000,14;0,5;-10000,11;-10000,07;0,31000000000000005;-10000,08;0,17999999999999994;-10000,1;0,039999999999999813;0,10000000000000009;-10000,19;-10000,23;0,06000000000000005;-10000,44;-0,33000000000000007;-0,3699999999999999;-0,40000000000000013;-0,6499999999999999;-10000,94;-10000,85;-10000,76;-10000,74;-0,6199999999999999;-10000,73;-10000,73;-10000,72;-0,19999999999999996;-10000,68;0,1200000000000001;-10000,62
1;-10000,01;-9999,96;-9999,92;-9999,92;0,6400000000000001;-9999,97;-9999,98;-9999,99;-10000,0;-9999,99;-9999,96;-9999,94;-9999,93;-9999,9;-9999,9;-9999,91;-9999,9;-9999,87;-9999,83;-9999,86;-10000,0;-10000,11;-10000,14;-10000,13;0,43000000000000016;-10000,17;0,6200000000000001;-10000,24;-10000,29;-10000,29;-10000,28;-10000,27;0,5800000000000001;-10000,23;0,6600000000000001;-10000,17;-10000,17;-10000,16;0,4600000000000002;-10000,14;0,44000000000000017;-10000,2;-10000,25;-10000,29;-10000,33;-0,15000000000000013;0,07000000000000006;-0,27;-0,039999999999999813;0,0;-10000,3;-10000,25;0,020000000000000018;-10000,24;-10000,28;-10000,3;-10000,3;-10000,26;-10000,19;-10000,12;0,20999999999999996;-10000,03;-10000,03;-0,43000000000000005;-10000,07;-10000,08;-10000,08;-10000,07;0,22999999999999998;-10000,1;-10000,15;-10000,28;-10000,47;-10000,55;-10000,5;-10000,43;-0,10000000000000009;-10000,32;-0,030000000000000027;-10000,36;-10000,43;-10000,47;-10000,5;-10000,56;-0,1100000000000001;-10000,58;-10000,55;-10000,52;-10000,49;-10000,46;-10000,44;-10000,44;-10000,43;-10000,39;-10000,36;-10000,35;0,44999999999999996;-10000,36;-10000,33;0,3599999999999999;-10000,22;-10000,18;0,2300000000000002;-10000,09;0,20999999999999996;-10000,06;0,11999999999999988;0,22999999999999998;-10000,01;-10000,01;-9999,99;-9999,95;0,37;-9999,89;-9999,89;-9999,94;-10000,02;-10000,09;-10000,16;-10000,24;-0,20999999999999996;-10000,41;-10000,46;-10000,47;0,040000000000000036;-10000,5;0,25;-10000,53
2;-10000,0;-10000,03;-10000,04;-10000,03;-10000,01;-9999,96;-9999,92;-9999,89;-9999,87;-9999,85;-9999,89;-10000,16;-10000,37;-10000,43;-10000,53;-10000,6;-10000,54;-10000,47;-10000,4;-10000,33;-10000,26;-10000,22;-10000,21;-10000,2;0,40000000000000013;-10000,2;0,6300000000000001;-10000,19;-10000,18;-10000,17;-10000,19;-10000,22;0,6100000000000001;-10000,22;-10000,21;-10000,22;-10000,2;0,010000000000000009;0,43000000000000016;-0,030000000000000027;0,4600000000000002;0,25;-10000,11;-10000,13;-10000,21;-10000,26;-10000,27;-10000,28;-10000,26;-10000,23;-10000,23;-10000,2;0,07000000000000006;-10000,16;-10000,15;-0,5299999999999999;-10000,15;-10000,13;-10000,1;-10000,05;0,27;-9999,99;-9999,99;-10000,0;-10000,04;-10000,12;-10000,18;-10000,19;0,16000000000000014;-10000,11;-10000,12;-10000,21;-10000,28;-10000,28;-10000,24;-10000,21;0,09000000000000008;-10000,2;-10000,29;-10000,36;-10000,4;-10000,42;-10000,42;-10000,4;-10000,34;-10000,27;-10000,2;-10000,15;-10000,11;-10000,08;-10000,07;-10000,1;-10000,14;-10000,18;-10000,23;-10000,34;0,44000000000000017;-10000,34;-10000,29;0,3899999999999999;-10000,2;-10000,17;-10000,17;-10000,2;0,030000000000000027;-10000,26;-10000,26;-10000,26;-10000,27;-10000,27;-10000,27;-10000,28;-0,020000000000000018;-10000,3;-10000,29;-10000,26;-10000,22;-10000,17;-10000,12;-10000,12;-0,010000000000000009;-10000,1;-10000,08;-10000,11;0,32000000000000006;-10000,25;0,52;-10000,2
3;-9999,87;-9999,94;-10000,18;-10000,35;-10000,39;-10000,36;-10000,34;-10000,38;-10000,39;-10000,35;-10000,34;-10000,4;-10000,46;-10000,41;-10000,36;-10000,34;-10000,34;-10000,34;-10000,35;-10000,37;-10000,38;-10000,37;-10000,4;-10000,47;0,10000000000000009;-10000,46;-10000,44;-10000,41;-10000,37;-0,1200000000000001;-10000,28;-0,18000000000000016;0,53;0,10000000000000009;-10000,23;-10000,2;-10000,16;-10000,17;-10000,32;-10000,4;-10000,39;-10000,39;-10000,42;-10000,46;-10000,46;-10000,4;-10000,33;-0,66;-10000,32;-10000,32;-10000,27;-10000,21;0,06000000000000005;-10000,24;-10000,27;-10000,28;-10000,26;-10000,21;-10000,15;-10000,11;0,17999999999999994;-10000,09;-10000,11;-10000,23;-10000,42;-10000,49;-10000,43;-10000,34;0,030000000000000027;-10000,27;-10000,35;-10000,44;-10000,47;-10000,43;-10000,37;-10000,33;-10000,29;-10000,25;-10000,2;-10000,16;-10000,11;-10000,07;-10000,03;-9999,99;-9999,96;-9999,96;-10000,06;-10000,23;-10000,36;-10000,47;-10000,52;-10000,54;-10000,57;-10000,59;-10000,56;-10000,52;0,3600000000000001;-10000,39;-10000,35;-10000,33;-10000,31;-10000,31;-10000,33;-10000,38;-0,1499999999999999;-10000,46;-10000,48;-10000,49;-10000,5;-10000,49;-10000,48;-10000,48;-0,19999999999999996;-10000,45;-10000,46;-10000,52;-10000,54;-10000,51;-10000,51;-10000,55;7,36;-10000,51;-10000,47;-10000,44;0,10000000000000009;-10000,37;0,43999999999999995;-10000,32
4;-10000,39;-10000,33;-10000,28;-10000,31;-10000,4;-10000,41;-10000,34;-10000,29;-10000,25;-10000,21;-10000,19;-10000,2;-10000,25;-10000,3;-10000,33;-10000,39;-10000,46;-10000,46;-10000,4;-10000,35;-10000,38;-0,22999999999999998;-10000,46;-0,3700000000000001;0,15000000000000013;0,040000000000000036;-10000,3;-10000,31;-10000,31;-10000,29;-10000,36;-10000,47;-10000,52;-10000,53;-10000,49;-10000,4;-10000,32;-10000,23;-10000,17;-0,5499999999999999;-10000,22;-10000,27;-10000,31;-10000,34;-10000,36;-10000,33;-10000,27;-10000,22;-10000,2;-10000,2;-10000,2;-10000,19;0,050000000000000044;-10000,22;-10000,27;-10000,28;-10000,27;-10000,23;-10000,17;-10000,12;0,17999999999999994;-10000,11;-10000,15;-10000,19;-10000,24;-10000,26;-10000,25;-10000,21;-10000,17;-10000,12;-10000,08;-10000,07;-10000,06;-10000,05;-10000,03;-10000,0;-9999,96;-9999,91;-9999,87;-9999,87;-9999,95;-10000,05;-10000,1;-10000,13;-10000,19;-10000,24;-10000,24;-10000,24;-10000,23;-10000,21;-10000,21;-10000,2;-10000,18;-10000,17;-10000,15;-10000,13;0,71;-10000,09;-10000,08;-10000,09;-10000,13;-10000,22;-10000,38;-10000,53;-0,29000000000000004;-10000,51;-10000,44;-10000,38;-10000,3;-10000,22;-10000,18;-10000,17;7,73;-10000,19;-10000,21;-10000,23;-10000,26;-10000,31;-10000,39;-10000,48;-10000,53;-10000,54;-10000,57;-10000,61;-0,11999999999999988;-10000,6;-10000,58;-10000,59
5;-10000,25;-10000,2;-10000,16;-10000,12;-10000,11;-10000,13;-10000,21;-10000,31;-10000,38;-10000,4;-10000,39;-10000,41;-10000,43;-0,19999999999999996;-10000,35;-0,25;-10000,41;-0,04999999999999982;-10000,47;-10000,57;-10000,56;-10000,49;-10000,44;-10000,46;-10000,46;-10000,42;-10000,39;-10000,42;-10000,47;-10000,5;-10000,53;-0,9400000000000001;-10000,58;-10000,53;-10000,46;-10000,42;-10000,39;-10000,37;-10000,34;-10000,3;-10000,25;-10000,21;-10000,19;-10000,18;-10000,18;-10000,24;-10000,29;-10000,32;-10000,33;-10000,3;-10000,26;-10000,29;-0,10000000000000009;-10000,34;-10000,3;-10000,3;-10000,29;-10000,25;-10000,21;-10000,19;-10000,16;-10000,12;-10000,1;-10000,09;-10000,15;-10000,25;-10000,27;-10000,27;-10000,26;-10000,23;-10000,19;-10000,15;-10000,12;-10000,1;-10000,11;-10000,13;-10000,14;-10000,16;-10000,22;-10000,3;-10000,38;-10000,41;-10000,41;-10000,44;-10000,42;-10000,35;-10000,3;-10000,27;-10000,25;-10000,23;-10000,19;-10000,14;-10000,11;-10000,13;-10000,19;-10000,26;0,54;-10000,25;-10000,22;-10000,18;-10000,16;-10000,14;-10000,17;-10000,28;7,54;-10000,41;-10000,43;-10000,42;-10000,39;-10000,37;-10000,36;-10000,38;-10000,4;-10000,41;-10000,41;-10000,39;-10000,38;-10000,36;-10000,34;-10000,34;-10000,32;-10000,28;-10000,25;-10000,23;-10000,23;-10000,24;-10000,27;-10000,36
6;-10000,38;-10000,41;-10000,41;-10000,39;-10000,36;-0,13000000000000012;-10000,28;-0,14000000000000012;-10000,32;0,06000000000000005;-10000,27;-10000,24;-10000,24;-10000,26;-10000,32;-10000,36;-10000,37;-10000,35;-10000,31;-10000,32;-10000,4;-10000,41;-10000,38;-0,7499999999999999;-10000,37;-10000,35;-10000,32;-10000,28;-10000,23;-10000,2;-10000,22;-10000,25;-10000,25;-10000,23;-10000,23;-10000,26;-10000,35;-10000,56;-10000,63;-10000,6;-10000,54;-10000,46;-10000,38;-10000,34;-10000,33;-10000,3;-10000,25;-10000,2;-10000,23;-10000,29;-10000,25;-10000,21;-10000,18;-10000,15;-10000,12;-10000,09;-10000,06;-10000,03;-10000,02;-10000,17;-10000,48;-10000,57;-10000,53;-10000,49;-10000,45;-10000,4;-10000,36;-10000,44;-10000,43;-10000,38;-10000,32;-10000,29;-10000,29;-10000,32;-10000,42;-10000,54;-10000,6;-10000,59;-10000,53;-10000,45;-10000,45;-10000,52;-10000,57;-10000,6;-10000,61;-10000,61;-10000,59;-10000,54;-10000,49;-10000,43;-10000,4;-10000,38;-10000,36;-10000,32;-10000,29;-10000,26;7,67;-10000,21;-10000,18;-10000,15;-10000,13;-10000,11;-10000,1;-10000,11;-10000,12;-10000,13;-10000,16;-10000,23;-10000,26;-10000,23;-10000,2;-10000,27;-10000,34;-10000,33;-10000,3;-10000,29;-10000,3;-10000,3;-10000,29;-10000,29;-10000,27;-10000,25;-10000,24;-10000,25;-10000,25;-10000,22;-10000,21;-10000,23
7;-10000,32;0,06000000000000005;-10000,31;-10000,3;-10000,31;-10000,33;-10000,39;-10000,42;-10000,42;-10000,4;-10000,37;-10000,35;-10000,34;-10000,35;-10000,35;-0,7200000000000001;-10000,33;-10000,31;-10000,29;-10000,27;-10000,29;-10000,27;-10000,22;-10000,17;-10000,14;-10000,15;-10000,25;-10000,44;-10000,54;-10000,53;-10000,52;-10000,49;-10000,42;-10000,37;-10000,35;-10000,34;-10000,33;-10000,31;-10000,28;-10000,25;-10000,22;-10000,21;-10000,18;-10000,15;-10000,11;-10000,09;-10000,06;-10000,04;-10000,02;-10000,0;-9999,98;-10000,0;-10000,15;-10000,29;-10000,37;-10000,4;-10000,38;-10000,35;-10000,32;-10000,34;-10000,34;-10000,35;-10000,39;-10000,45;-10000,47;-10000,46;-10000,46;-10000,5;-10000,59;-10000,67;-10000,69;-10000,66;-10000,64;-10000,62;-10000,6;-10000,56;-10000,55;-10000,58;-10000,58;-10000,53;-10000,44;-10000,35;-10000,27;-10000,2;-10000,14;-10000,12;-10000,19;-10000,31;7,57;-10000,31;-10000,32;-10000,41;-10000,39;-10000,28;-10000,2;-10000,16;-10000,15;-10000,15;-10000,14;-10000,13;-10000,12;-10000,09;-10000,05;-10000,01;-9999,98;-9999,95;-9999,93;-9999,91;-9999,89;-9999,88;-9999,88;-9999,88;-9999,92;-9999,98;-10000,0;-9999,98;-9999,97;-9999,99;-10000,01;-10000,02;-10000,02;-10000,01;-10000,03;-10000,1;-10000,14;-10000,13;-10000,12;-10000,11
8;-10000,42;-10000,47;-10000,46;-10000,42;-10000,42;-10000,44;-10000,44;-0,8099999999999999;-10000,43;-10000,42;-10000,4;-10000,38;-10000,38;-10000,36;-10000,29;-10000,23;-10000,19;-10000,16;-10000,12;-10000,09;-10000,08;-10000,12;-10000,19;-10000,27;-10000,3;-10000,29;-10000,27;-10000,29;-10000,28;-10000,25;-10000,22;-10000,2;-10000,17;-10000,16;-10000,13;-10000,09;-10000,04;-10000,03;-10000,02;-10000,03;-10000,02;-10000,03;-10000,07;-10000,14;-10000,3;-10000,42;-10000,42;-10000,38;-10000,38;-10000,37;-10000,36;-10000,35;-10000,37;-10000,44;-10000,48;-10000,52;-10000,64;-10000,66;-10000,57;-10000,53;-10000,5;-10000,45;-10000,39;-10000,36;-10000,48;-10000,57;-10000,57;-10000,63;-10000,6;-10000,5;-10000,41;-10000,38;-10000,42;-10000,4;-10000,37;-10000,32;-10000,28;-10000,25;-10000,31;-10000,41;7,44;-10000,51;-10000,54;-10000,55;-10000,54;-10000,53;-10000,52;-10000,53;-10000,55;-10000,57;-10000,53;-10000,45;-10000,36;-10000,29;-10000,24;-10000,21;-10000,2;-10000,2;-10000,18;-10000,16;-10000,15;-10000,16;-10000,19;-10000,22;-10000,21;-10000,17;-10000,14;-10000,11;-10000,09;-10000,09;-10000,09;-10000,08;-10000,08;-10000,08;-10000,07;-10000,05;-10000,02;-9999,99;-9999,95;-9999,93;-9999,9;-9999,87;-9999,85;-9999,83;-9999,82;-9999,81;-9999,81;-9999,83
9;-10000,43;-10000,41;-10000,39;-10000,36;-10000,33;-10000,29;-10000,23;-10000,19;-10000,16;-10000,18;-10000,25;-10000,28;-10000,28;-10000,3;-10000,33;-10000,34;-10000,31;-10000,27;-10000,28;-10000,31;-10000,29;-10000,25;-10000,22;-10000,2;-10000,2;-10000,16;-10000,12;-10000,1;-10000,08;-10000,04;-10000,01;-10000,01;-10000,1;-10000,18;-10000,34;-10000,55;-10000,55;-10000,5;-10000,46;-10000,46;-10000,46;-10000,43;-10000,4;-10000,38;-10000,36;-10000,34;-10000,32;-10000,3;-10000,27;-10000,27;-10000,27;-10000,25;-10000,21;-10000,16;-10000,11;-10000,08;-10000,07;-10000,05;-10000,02;-10000,01;-10000,04;-10000,12;-10000,17;-10000,17;-10000,15;-10000,14;-10000,17;-10000,23;-10000,26;-10000,26;-10000,25;-10000,26;7,470000000000001;-10000,47;-10000,43;-10000,43;-10000,41;-10000,39;-10000,37;-10000,33;-10000,3;-10000,28;-10000,25;-10000,22;-10000,19;-10000,17;-10000,2;-10000,29;-10000,33;-10000,31;-10000,3;-10000,33;-10000,37;-10000,4;-10000,41;-10000,46;-10000,51;-10000,52;-10000,51;-10000,49;-10000,46;-10000,43;-10000,39;-10000,35;-10000,3;-10000,26;-10000,21;-10000,17;-10000,12;-10000,08;-10000,06;-10000,08;-10000,09;-10000,07;-10000,05;-10000,04;-10000,05;-10000,07;-10000,11;-10000,16;-10000,2;-10000,2;-10000,2;-10000,21;-10000,24;-10000,27;-10000,29;-10000,32
